model_name,scope,module,surface_name,base_policy,alt_policy,n_mean,n_std,n_min,n_max,base_accuracy_mean,base_accuracy_std,base_accuracy_min,base_accuracy_max,alt_accuracy_mean,alt_accuracy_std,alt_accuracy_min,alt_accuracy_max,delta_mean,delta_std,delta_min,delta_max,mcnemar_p_mean,mcnemar_p_std,mcnemar_p_min,mcnemar_p_max
Qwen/Qwen2.5-7B-Instruct,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,106.66666666666667,6.02771377334171,101,113,0.3201645260535404,0.03983861017374128,0.2743362831858407,0.3465346534653465,0.4726916839287869,0.02187796305095498,0.45132743362831856,0.49504950495049505,0.15255800926561183,0.023386271264178433,0.13303773584905662,0.17847787610619467,0.0009624560674031576,0.001403175355725551,3.5881996154785156e-05,0.0025768280029296875
Qwen/Qwen2.5-7B-Instruct,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,106.66666666666667,6.02771377334171,101,113,0.3201645260535404,0.03983861017374128,0.2743362831858407,0.3465346534653465,0.4256009504774154,0.027300325602234114,0.39823008849557523,0.4528301886792453,0.10496086830255909,0.024882743116678607,0.07693069306930694,0.1244424778761062,0.008992513020833334,0.010912939720681953,0.001312255859375,0.021484375
Qwen/Qwen2.5-7B-Instruct,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,106.66666666666667,6.02771377334171,101,113,0.3201645260535404,0.03983861017374128,0.2743362831858407,0.3465346534653465,0.32020365168926307,0.04863010943706153,0.26548672566371684,0.3584905660377358,0.0003601360469992574,0.015419629356469969,-0.009881188118811881,0.018094339622641512,0.875,0.21650635094610965,0.625,1.0
Qwen/Qwen2.5-7B-Instruct,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,106.66666666666667,6.02771377334171,101,113,0.3201645260535404,0.03983861017374128,0.2743362831858407,0.3465346534653465,0.45499256888453915,0.05052530315608,0.39823008849557523,0.49504950495049505,0.1342689237198891,0.011324206285411116,0.12361061946902654,0.14615841584158418,0.0011234283447265625,0.0012645865277008798,0.000274658203125,0.0025768280029296875
Qwen/Qwen2.5-7B-Instruct,format:ifbench,format,ifbench,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,106.66666666666667,6.02771377334171,101,113,0.45499256888453915,0.05052530315608,0.39823008849557523,0.49504950495049505,0.4726916839287869,0.02187796305095498,0.45132743362831856,0.49504950495049505,0.018289085545722714,0.031677625389165305,0.0,0.05486725663716814,0.6901041666666666,0.5367553283872303,0.0703125,1.0
Qwen/Qwen2.5-7B-Instruct,format:ifbench,format,ifbench,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,106.66666666666667,6.02771377334171,101,113,0.45499256888453915,0.05052530315608,0.39823008849557523,0.49504950495049505,0.4256009504774154,0.027300325602234114,0.39823008849557523,0.4528301886792453,-0.029308055417330017,0.03603913030436876,-0.06922772277227725,0.0008318584070796469,0.546875,0.4968160342370202,0.015625,1.0
Qwen/Qwen2.5-7B-Instruct,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,130.33333333333334,4.163331998932268,127,135,0.7027316029940701,0.037075288965183605,0.6666666666666666,0.7407407407407407,0.7953316558944344,0.03139675491428412,0.7596899224806202,0.8188976377952756,0.0928253930790951,0.026549766230023083,0.06619259259259261,0.11929133858267717,0.0069154103597005205,0.005142882673132274,0.0014896392822265625,0.01171875
Qwen/Qwen2.5-7B-Instruct,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,130.33333333333334,4.163331998932268,127,135,0.7027316029940701,0.037075288965183605,0.6666666666666666,0.7407407407407407,0.7695922376627986,0.016719175342523852,0.751937984496124,0.7851851851851852,0.0670790652460432,0.020918578997061826,0.04410370370370371,0.08502325581395348,0.039398193359375,0.029026741132460166,0.012725830078125,0.0703125
Qwen/Qwen2.5-7B-Instruct,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,130.33333333333334,4.163331998932268,127,135,0.7027316029940701,0.037075288965183605,0.6666666666666666,0.7407407407407407,0.7209415360547632,0.021741592393085995,0.6976744186046512,0.7407407407407407,0.018055055262794995,0.016021774588717962,-0.0002518518518518516,0.02951937984496124,0.6171875,0.3415233280374124,0.34375,1.0
Qwen/Qwen2.5-7B-Instruct,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,130.33333333333334,4.163331998932268,127,135,0.7027316029940701,0.037075288965183605,0.6666666666666666,0.7407407407407407,0.7879242484870269,0.029698741371040314,0.7596899224806202,0.8188976377952756,0.08546243011613212,0.03815519267933353,0.04410370370370371,0.11929133858267717,0.02644666035970052,0.038109107886775594,0.0014896392822265625,0.0703125
Qwen/Qwen2.5-7B-Instruct,format:ifeval_screened,format,ifeval_screened,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,130.33333333333334,4.163331998932268,127,135,0.7879242484870269,0.029698741371040314,0.7596899224806202,0.8188976377952756,0.7953316558944344,0.03139675491428412,0.7596899224806202,0.8188976377952756,0.007362962962962963,0.012753025946099733,0.0,0.022088888888888887,0.75,0.4330127018922193,0.25,1.0
